timestamp,id,hitId,qInd,motionType,effortsLeft,effortsRight,selected0,selected1
"2024-05-04 16:47:42",A10FBUC6DEJUJO,60,3,0,"[0,1,0,1]","[0,-1,1,0]",0,2
"2024-05-04 16:47:50",A10FBUC6DEJUJO,60,4,0,"[0,0,1,-1]","[0,0,-1,1]",0,2
"2024-05-04 16:48:12",A10FBUC6DEJUJO,60,5,0,"[1,1,-1,0]","[1,1,0,-1]",0,2
"2024-05-04 16:48:23",A10FBUC6DEJUJO,60,6,0,"[0,-1,1,-1]","[-1,0,-1,1]",1,2
"2024-05-04 16:48:45",A10FBUC6DEJUJO,60,7,0,"[-1,-1,0,0]","[0,0,1,-1]",1,2
"2024-05-04 16:48:58",A10FBUC6DEJUJO,60,8,0,"[1,0,-1,1]","[-1,1,0,0]",0,2
"2024-05-04 16:49:08",A10FBUC6DEJUJO,60,9,0,"[-1,0,0,-1]","[1,0,1,0]",0,1
"2024-05-04 16:49:17",A10FBUC6DEJUJO,60,10,0,"[-1,1,0,-1]","[0,-1,-1,-1]",0,2
"2024-05-04 16:49:28",A10FBUC6DEJUJO,60,11,0,"[0,0,1,-1]","[1,0,1,-1]",0,2
"2024-05-04 16:49:45",A10FBUC6DEJUJO,60,12,0,"[0,1,-1,-1]","[-1,0,-1,1]",1,2
"2024-05-04 16:50:00",A10FBUC6DEJUJO,60,13,0,"[1,1,0,0]","[1,0,1,-1]",0,1
"2024-05-04 17:27:10",A10NVEMN0583XK,40,0,0,"[-1,-1,0,-1]","[0,1,1,-1]",0,1
"2024-05-04 17:27:16",A10NVEMN0583XK,40,1,0,"[1,-1,0,1]","[0,-1,-1,1]",0,1
"2024-05-04 17:27:21",A10NVEMN0583XK,40,2,0,"[-1,0,-1,-1]","[1,0,1,0]",1,2
"2024-05-04 17:27:27",A10NVEMN0583XK,40,3,0,"[1,1,1,0]","[-1,0,1,-1]",0,1
"2024-05-04 17:27:33",A10NVEMN0583XK,40,4,0,"[-1,1,-1,0]","[-1,0,0,1]",1,2
"2024-05-04 17:27:40",A10NVEMN0583XK,40,5,0,"[-1,-1,0,0]","[1,0,0,1]",0,1
"2024-05-04 17:27:45",A10NVEMN0583XK,40,6,0,"[1,1,1,0]","[-1,0,1,1]",0,1
"2024-05-04 17:27:50",A10NVEMN0583XK,40,7,0,"[0,-1,1,-1]","[0,-1,0,1]",1,2
"2024-05-04 17:27:55",A10NVEMN0583XK,40,8,0,"[-1,0,1,-1]","[0,-1,1,-1]",0,2
"2024-05-04 17:28:01",A10NVEMN0583XK,40,9,0,"[-1,0,1,1]","[0,-1,1,-1]",0,1
"2024-05-04 17:28:12",A10NVEMN0583XK,40,10,0,"[0,1,-1,-1]","[1,-1,0,1]",1,2
"2024-05-04 17:28:18",A10NVEMN0583XK,40,11,0,"[1,-1,0,0]","[0,0,-1,-1]",0,1
"2024-05-04 17:28:34",A10NVEMN0583XK,40,12,0,"[-1,-1,0,1]","[-1,0,1,1]",0,1
"2024-05-04 17:28:40",A10NVEMN0583XK,40,13,0,"[-1,1,1,0]","[0,1,-1,-1]",0,2
"2024-05-04 17:01:59",A10NVEMN0583XK,93,0,0,"[-1,0,0,1]","[1,0,-1,-1]",0,1
"2024-05-04 17:02:05",A10NVEMN0583XK,93,1,0,"[-1,0,-1,1]","[0,-1,1,0]",1,2
"2024-05-04 17:02:11",A10NVEMN0583XK,93,2,0,"[1,0,-1,1]","[-1,0,-1,-1]",0,1
"2024-05-04 17:02:17",A10NVEMN0583XK,93,3,0,"[-1,1,0,1]","[0,1,1,0]",0,1
"2024-05-04 17:02:24",A10NVEMN0583XK,93,4,0,"[1,1,1,0]","[1,0,-1,-1]",0,1
"2024-05-04 17:02:51",A10NVEMN0583XK,93,5,0,"[-1,0,0,-1]","[-1,1,0,-1]",0,2
"2024-05-04 17:02:56",A10NVEMN0583XK,93,6,0,"[1,0,0,1]","[1,1,1,0]",1,2
"2024-05-04 17:03:02",A10NVEMN0583XK,93,7,0,"[-1,1,0,1]","[1,0,1,0]",0,2
"2024-05-04 17:03:08",A10NVEMN0583XK,93,8,0,"[0,-1,-1,1]","[0,-1,0,-1]",0,1
"2024-05-04 17:03:15",A10NVEMN0583XK,93,9,0,"[1,-1,-1,0]","[0,1,1,1]",0,1
"2024-05-04 17:03:21",A10NVEMN0583XK,93,10,0,"[-1,-1,0,0]","[-1,0,1,-1]",0,1
"2024-05-04 17:03:29",A10NVEMN0583XK,93,11,0,"[-1,0,0,1]","[-1,1,0,1]",0,1
"2024-05-04 17:03:35",A10NVEMN0583XK,93,12,0,"[0,1,1,-1]","[1,-1,1,0]",0,2
"2024-05-04 17:03:45",A10NVEMN0583XK,93,13,0,"[0,1,-1,0]","[1,0,1,1]",1,2
"2024-05-03 16:35:46",A117C4QPUJ39TH,8,0,0,"[1,1,-1,0]","[-1,1,-1,0]",0,2
"2024-05-03 16:32:36",A117C4QPUJ39TH,68,0,0,"[0,1,0,-1]","[-1,0,1,-1]",0,2
"2024-05-03 16:32:43",A117C4QPUJ39TH,68,1,0,"[1,0,-1,-1]","[0,-1,1,1]",1,2
"2024-05-03 16:32:56",A117C4QPUJ39TH,68,2,0,"[0,1,1,0]","[0,1,1,1]",1,2
"2024-05-03 16:33:19",A117C4QPUJ39TH,68,3,0,"[0,1,1,1]","[1,0,0,1]",0,2
"2024-05-03 16:33:30",A117C4QPUJ39TH,68,4,0,"[0,-1,1,0]","[1,1,1,0]",0,2
"2024-05-03 16:33:39",A117C4QPUJ39TH,68,5,0,"[0,1,0,1]","[1,-1,0,1]",0,2
"2024-05-03 16:33:44",A117C4QPUJ39TH,68,6,0,"[-1,0,0,-1]","[0,-1,-1,-1]",0,2
"2024-05-03 16:33:49",A117C4QPUJ39TH,68,7,0,"[0,1,-1,-1]","[0,-1,1,1]",1,2
"2024-05-03 16:33:58",A117C4QPUJ39TH,68,8,0,"[-1,-1,0,-1]","[1,0,0,1]",1,2
"2024-05-03 16:34:09",A117C4QPUJ39TH,68,9,0,"[-1,1,-1,0]","[-1,0,1,0]",1,2
"2024-05-03 16:34:13",A117C4QPUJ39TH,68,10,0,"[-1,1,0,1]","[1,0,1,-1]",0,1
"2024-05-03 16:34:33",A117C4QPUJ39TH,68,11,0,"[0,-1,1,1]","[1,0,0,1]",0,2
"2024-05-03 16:35:06",A117C4QPUJ39TH,68,12,0,"[0,1,-1,0]","[-1,1,1,0]",0,1
"2024-05-03 16:35:16",A117C4QPUJ39TH,68,13,0,"[-1,0,1,1]","[0,1,-1,0]",1,2
"2024-05-03 16:28:18",A117C4QPUJ39TH,100,0,0,"[0,1,1,1]","[0,1,0,-1]",0,1
"2024-05-03 16:28:26",A117C4QPUJ39TH,100,1,0,"[0,0,1,-1]","[-1,1,0,-1]",0,2
"2024-05-03 16:28:39",A117C4QPUJ39TH,100,2,0,"[-1,0,-1,0]","[1,0,0,-1]",0,1
"2024-05-03 16:28:50",A117C4QPUJ39TH,100,3,0,"[-1,0,1,0]","[-1,1,0,1]",1,2
"2024-05-03 16:28:56",A117C4QPUJ39TH,100,4,0,"[0,1,-1,-1]","[1,1,0,1]",1,2
"2024-05-03 16:29:13",A117C4QPUJ39TH,100,5,0,"[-1,0,1,0]","[0,-1,1,0]",0,2
"2024-05-03 16:29:18",A117C4QPUJ39TH,100,6,0,"[1,0,-1,-1]","[1,-1,0,1]",1,2
"2024-05-03 16:29:34",A117C4QPUJ39TH,100,7,0,"[1,-1,0,-1]","[-1,0,1,-1]",0,2
"2024-05-03 16:29:41",A117C4QPUJ39TH,100,8,0,"[0,-1,0,-1]","[-1,0,-1,1]",1,2
"2024-05-03 16:30:10",A117C4QPUJ39TH,100,9,0,"[1,0,1,1]","[0,1,-1,1]",1,2
"2024-05-03 16:30:25",A117C4QPUJ39TH,100,10,0,"[-1,-1,0,1]","[0,-1,0,-1]",0,1
"2024-05-03 16:31:10",A117C4QPUJ39TH,100,11,0,"[1,1,0,1]","[1,-1,1,0]",1,2
"2024-05-03 16:31:50",A117C4QPUJ39TH,100,12,0,"[1,0,1,-1]","[1,1,0,-1]",0,2
"2024-05-03 16:31:54",A117C4QPUJ39TH,100,13,0,"[-1,1,0,1]","[0,1,1,-1]",0,1
"2024-05-03 16:27:52",A11LM91BADM1BL,23,0,0,"[0,-1,-1,0]","[0,-1,-1,-1]",1,2
"2024-05-03 16:28:13",A11LM91BADM1BL,23,1,0,"[1,0,-1,-1]","[1,-1,0,-1]",1,2
"2024-05-03 16:28:22",A11LM91BADM1BL,23,2,0,"[0,1,1,1]","[0,-1,1,1]",1,2
"2024-05-03 16:28:39",A11LM91BADM1BL,23,3,0,"[-1,1,0,0]","[0,0,-1,-1]",0,1
"2024-05-03 16:28:51",A11LM91BADM1BL,23,4,0,"[-1,0,0,-1]","[-1,0,1,0]",0,1
"2024-05-03 16:28:58",A11LM91BADM1BL,23,5,0,"[-1,0,1,1]","[0,-1,0,1]",0,1
"2024-05-03 16:29:20",A11LM91BADM1BL,23,6,0,"[-1,0,0,-1]","[-1,0,1,-1]",0,1
"2024-05-03 16:29:32",A11LM91BADM1BL,23,7,0,"[-1,0,1,0]","[-1,-1,0,-1]",0,1
"2024-05-03 16:29:48",A11LM91BADM1BL,23,8,0,"[-1,-1,-1,0]","[1,0,-1,-1]",0,1
"2024-05-03 16:30:07",A11LM91BADM1BL,23,9,0,"[-1,0,-1,0]","[0,1,0,1]",0,2
"2024-05-03 16:30:13",A11LM91BADM1BL,23,10,0,"[1,-1,-1,0]","[-1,0,0,1]",1,2
"2024-05-03 16:30:19",A11LM91BADM1BL,23,11,0,"[1,1,0,1]","[1,0,1,0]",1,2
"2024-05-03 16:30:27",A11LM91BADM1BL,23,12,0,"[-1,-1,0,-1]","[0,0,-1,-1]",0,1
"2024-05-03 16:30:35",A11LM91BADM1BL,23,13,0,"[-1,1,-1,0]","[1,-1,0,-1]",1,2
"2024-05-03 21:40:21",A11ZUKTMY6IK9U,3,0,0,"[-1,1,-1,0]","[-1,-1,1,0]",1,2
"2024-05-03 21:40:30",A11ZUKTMY6IK9U,3,1,0,"[0,1,-1,-1]","[0,-1,-1,-1]",1,2
"2024-05-03 21:40:34",A11ZUKTMY6IK9U,3,2,0,"[-1,0,1,-1]","[-1,1,0,-1]",1,2
"2024-05-03 21:40:39",A11ZUKTMY6IK9U,3,3,0,"[1,0,1,1]","[-1,-1,0,0]",0,2
"2024-05-03 21:40:44",A11ZUKTMY6IK9U,3,4,0,"[-1,0,1,0]","[0,-1,1,-1]",0,1
