timestamp,id,hitId,qInd,motionType,effortsLeft,effortsRight,selected0,selected1
"2024-05-06 13:40:40",A107V0POF1ZCWL,60,4,0,"[0,0,1,-1]","[0,0,-1,1]",1,2
"2024-05-06 13:40:45",A107V0POF1ZCWL,60,5,0,"[1,1,-1,0]","[1,1,0,-1]",0,1
"2024-05-06 13:40:51",A107V0POF1ZCWL,60,6,0,"[0,-1,1,-1]","[-1,0,-1,1]",1,2
"2024-05-06 13:40:57",A107V0POF1ZCWL,60,7,0,"[-1,-1,0,0]","[0,0,1,-1]",0,1
"2024-05-06 13:41:04",A107V0POF1ZCWL,60,8,0,"[1,0,-1,1]","[-1,1,0,0]",0,1
"2024-05-06 13:41:11",A107V0POF1ZCWL,60,9,0,"[-1,0,0,-1]","[1,0,1,0]",0,1
"2024-05-06 13:41:18",A107V0POF1ZCWL,60,10,0,"[-1,1,0,-1]","[0,-1,-1,-1]",0,1
"2024-05-06 13:41:23",A107V0POF1ZCWL,60,11,0,"[0,0,1,-1]","[1,0,1,-1]",0,1
"2024-05-06 13:41:36",A107V0POF1ZCWL,60,12,0,"[0,1,-1,-1]","[-1,0,-1,1]",1,2
"2024-05-06 13:41:43",A107V0POF1ZCWL,60,13,0,"[1,1,0,0]","[1,0,1,-1]",0,1
"2024-05-05 18:18:52",A10KP0TXE6IYUD,31,0,0,"[-1,0,-1,-1]","[1,0,0,-1]",0,1
"2024-05-05 18:19:07",A10KP0TXE6IYUD,31,1,0,"[-1,0,0,1]","[-1,0,1,-1]",0,1
"2024-05-05 18:19:10",A10KP0TXE6IYUD,31,2,0,"[1,1,0,1]","[-1,1,0,0]",0,1
"2024-05-05 18:19:14",A10KP0TXE6IYUD,31,3,0,"[-1,1,1,0]","[0,0,1,1]",0,1
"2024-05-05 18:19:20",A10KP0TXE6IYUD,31,4,0,"[0,-1,-1,1]","[-1,0,0,1]",0,1
"2024-05-05 18:19:24",A10KP0TXE6IYUD,31,5,0,"[0,0,-1,1]","[0,-1,-1,-1]",0,1
"2024-05-05 18:19:31",A10KP0TXE6IYUD,31,6,0,"[0,-1,1,1]","[1,1,1,0]",0,1
"2024-05-05 18:19:36",A10KP0TXE6IYUD,31,7,0,"[0,1,-1,-1]","[1,0,-1,1]",0,1
"2024-05-05 18:19:41",A10KP0TXE6IYUD,31,8,0,"[0,1,0,-1]","[0,-1,1,0]",1,2
"2024-05-05 18:19:45",A10KP0TXE6IYUD,31,9,0,"[-1,1,1,0]","[1,-1,0,-1]",0,1
"2024-05-05 18:19:53",A10KP0TXE6IYUD,31,10,0,"[0,-1,0,1]","[1,0,1,1]",0,1
"2024-05-05 18:19:57",A10KP0TXE6IYUD,31,11,0,"[-1,1,1,0]","[-1,0,-1,0]",0,1
"2024-05-05 18:20:04",A10KP0TXE6IYUD,31,12,0,"[1,-1,0,1]","[0,-1,1,0]",0,1
"2024-05-05 18:20:10",A10KP0TXE6IYUD,31,13,0,"[0,1,1,-1]","[1,-1,-1,0]",0,1
"2024-05-06 01:41:59",A10ZCRC5OA803C,64,0,0,"[1,0,1,0]","[1,1,1,0]",1,2
"2024-05-06 01:42:21",A10ZCRC5OA803C,64,1,0,"[0,1,-1,1]","[-1,1,0,0]",1,2
"2024-05-06 01:42:46",A10ZCRC5OA803C,64,2,0,"[-1,0,-1,0]","[0,1,1,0]",0,1
"2024-05-06 01:42:58",A10ZCRC5OA803C,64,3,0,"[0,1,0,1]","[1,0,-1,0]",0,1
"2024-05-06 01:43:19",A10ZCRC5OA803C,64,4,0,"[1,0,-1,0]","[-1,1,-1,0]",0,2
"2024-05-06 01:43:54",A10ZCRC5OA803C,64,5,0,"[0,1,1,-1]","[1,1,0,0]",1,2
"2024-05-06 01:44:09",A10ZCRC5OA803C,64,6,0,"[0,-1,0,-1]","[0,0,-1,1]",0,2
"2024-05-06 01:44:28",A10ZCRC5OA803C,64,7,0,"[1,0,0,-1]","[0,1,-1,-1]",0,1
"2024-05-06 01:44:54",A10ZCRC5OA803C,64,8,0,"[-1,-1,0,0]","[-1,0,1,0]",0,1
"2024-05-06 01:45:15",A10ZCRC5OA803C,64,9,0,"[-1,1,1,0]","[0,1,1,-1]",0,2
"2024-05-06 01:45:33",A10ZCRC5OA803C,64,10,0,"[-1,1,0,0]","[0,1,1,1]",0,2
"2024-05-06 01:45:45",A10ZCRC5OA803C,64,11,0,"[-1,0,1,-1]","[-1,-1,-1,0]",1,2
"2024-05-06 01:45:56",A10ZCRC5OA803C,64,12,0,"[-1,-1,-1,0]","[0,-1,1,1]",0,1
"2024-05-06 01:46:30",A10ZCRC5OA803C,64,13,0,"[0,1,1,-1]","[-1,0,0,-1]",1,2
"2024-05-06 00:14:52",A10ZCRC5OA803C,78,0,0,"[1,0,1,1]","[0,1,0,1]",0,2
"2024-05-06 00:15:09",A10ZCRC5OA803C,78,1,0,"[-1,0,-1,1]","[-1,-1,0,1]",0,1
"2024-05-06 01:47:42",A10ZCRC5OA803C,96,0,0,"[-1,1,-1,0]","[1,0,0,1]",1,2
"2024-05-06 01:47:59",A10ZCRC5OA803C,96,1,0,"[0,1,1,1]","[1,1,0,1]",1,2
"2024-05-06 01:48:13",A10ZCRC5OA803C,96,2,0,"[0,1,1,0]","[-1,-1,-1,0]",1,2
"2024-05-06 01:48:37",A10ZCRC5OA803C,96,3,0,"[0,-1,-1,0]","[0,1,1,0]",0,1
"2024-05-06 01:49:11",A10ZCRC5OA803C,96,4,0,"[-1,0,0,1]","[-1,0,-1,0]",0,1
"2024-05-06 01:49:46",A10ZCRC5OA803C,96,5,0,"[0,-1,-1,1]","[0,-1,1,0]",1,2
"2024-05-06 01:50:05",A10ZCRC5OA803C,96,6,0,"[-1,1,-1,0]","[0,-1,0,-1]",0,2
"2024-05-06 01:50:21",A10ZCRC5OA803C,96,7,0,"[1,0,0,1]","[-1,1,0,-1]",0,1
"2024-05-05 18:29:01",A117C4QPUJ39TH,12,0,0,"[-1,0,1,0]","[0,1,0,1]",1,2
"2024-05-05 18:29:05",A117C4QPUJ39TH,12,1,0,"[0,-1,0,-1]","[0,0,1,-1]",0,2
"2024-05-05 18:29:13",A117C4QPUJ39TH,12,2,0,"[1,1,0,1]","[1,-1,0,1]",0,1
"2024-05-05 18:29:34",A117C4QPUJ39TH,12,3,0,"[0,1,1,-1]","[-1,1,-1,0]",0,2
"2024-05-05 18:29:41",A117C4QPUJ39TH,12,4,0,"[0,-1,1,-1]","[-1,1,0,-1]",0,2
