,effortsLeft,effortsRight,r01,r02,r12
60,"[-1,-1,0,-1]","[1,1,1,0]",0.3,0.1,0.6
61,"[-1,-1,0,0]","[-1,-1,-1,0]",0.7333333333333333,0.06666666666666667,0.2
62,"[-1,-1,0,0]","[-1,-1,0,-1]",0.7,0.3,0.0
63,"[-1,-1,0,0]","[-1,-1,0,1]",0.7,0.0,0.3
64,"[-1,-1,0,0]","[-1,-1,1,0]",0.5333333333333333,0.0,0.4666666666666667
65,"[-1,-1,0,0]","[-1,0,-1,-1]",0.9333333333333333,0.0,0.06666666666666667
66,"[-1,-1,0,0]","[-1,0,1,-1]",0.9090909090909091,0.09090909090909091,0.0
67,"[-1,-1,0,0]","[-1,0,1,0]",0.9,0.1,0.0
68,"[-1,-1,0,0]","[-1,1,0,-1]",0.9333333333333333,0.0,0.06666666666666667
69,"[-1,-1,0,0]","[-1,1,0,0]",0.7857142857142857,0.14285714285714285,0.07142857142857142
70,"[-1,-1,0,0]","[-1,1,1,0]",0.7272727272727273,0.09090909090909091,0.18181818181818182
71,"[-1,-1,0,0]","[0,-1,0,1]",0.8181818181818182,0.09090909090909091,0.09090909090909091
72,"[-1,-1,0,0]","[0,-1,1,1]",0.9,0.0,0.1
73,"[-1,-1,0,0]","[0,0,1,-1]",0.9090909090909091,0.0,0.09090909090909091
74,"[-1,-1,0,0]","[0,0,1,1]",0.9,0.0,0.1
75,"[-1,-1,0,0]","[0,1,-1,0]",0.7,0.1,0.2
76,"[-1,-1,0,0]","[0,1,-1,1]",0.7692307692307693,0.15384615384615385,0.07692307692307693
77,"[-1,-1,0,0]","[0,1,0,-1]",0.8,0.0,0.2
78,"[-1,-1,0,0]","[0,1,0,1]",0.8,0.0,0.2
79,"[-1,-1,0,0]","[0,1,1,-1]",0.8461538461538461,0.15384615384615385,0.0
80,"[-1,-1,0,0]","[0,1,1,0]",0.8333333333333334,0.08333333333333333,0.08333333333333333
81,"[-1,-1,0,0]","[1,-1,0,-1]",0.7272727272727273,0.09090909090909091,0.18181818181818182
82,"[-1,-1,0,0]","[1,-1,0,1]",0.8571428571428571,0.0,0.14285714285714285
83,"[-1,-1,0,0]","[1,0,-1,1]",0.7333333333333333,0.06666666666666667,0.2
84,"[-1,-1,0,0]","[1,0,0,1]",0.4666666666666667,0.0,0.5333333333333333
85,"[-1,-1,0,0]","[1,0,1,-1]",0.8,0.2,0.0
86,"[-1,-1,0,0]","[1,0,1,0]",0.5714285714285714,0.14285714285714285,0.2857142857142857
87,"[-1,-1,0,0]","[1,1,-1,0]",0.7,0.0,0.3
88,"[-1,-1,0,0]","[1,1,0,-1]",0.7333333333333333,0.06666666666666667,0.2
89,"[-1,-1,0,0]","[1,1,0,0]",0.5333333333333333,0.06666666666666667,0.4
90,"[-1,-1,0,1]","[-1,-1,1,0]",0.8571428571428571,0.0,0.14285714285714285
91,"[-1,-1,0,1]","[-1,0,-1,-1]",0.6,0.1,0.3
92,"[-1,-1,0,1]","[-1,0,-1,0]",0.5,0.0,0.5
93,"[-1,-1,0,1]","[-1,0,0,-1]",0.4,0.2,0.4
94,"[-1,-1,0,1]","[-1,0,0,1]",0.4,0.1,0.5
95,"[-1,-1,0,1]","[-1,0,1,1]",0.7857142857142857,0.07142857142857142,0.14285714285714285
96,"[-1,-1,0,1]","[-1,1,0,-1]",0.7272727272727273,0.0,0.2727272727272727
97,"[-1,-1,0,1]","[0,-1,-1,-1]",0.5,0.2,0.3
98,"[-1,-1,0,1]","[0,-1,-1,0]",0.7272727272727273,0.0,0.2727272727272727
99,"[-1,-1,0,1]","[0,-1,0,-1]",1.0,0.0,0.0
100,"[-1,-1,0,1]","[0,-1,0,1]",0.1,0.7,0.2
101,"[-1,-1,0,1]","[0,-1,1,-1]",0.6363636363636364,0.0,0.36363636363636365
102,"[-1,-1,0,1]","[0,-1,1,0]",0.5,0.0,0.5
103,"[-1,-1,0,1]","[0,-1,1,1]",0.45454545454545453,0.36363636363636365,0.18181818181818182
