,efforts_tuples,selected0,selected1,count,count_normalized,selected_motions,alpha_0_1,alpha_1_0,alpha_0_2,alpha_2_0,alpha_1_2,alpha_2_1,direct_comparison_value,most_preferred_pair
391,"[(-1, 0, -1, 1), (0, 1, 1, -1)]",0,1,9,0.818181818181818,0_1,0.818181818181818,0.636363636363636,-0.818181818181818,-0.181818181818182,-0.636363636363636,0.181818181818182,0.0,"(0, 1)"
392,"[(-1, 0, -1, 1), (0, 1, 1, 0)]",1,2,6,0.6,1_2,0.4,-0.19999999999999996,-0.4,-0.6,0.19999999999999996,0.6,0.0,"(1, 2)"
393,"[(-1, 0, -1, 1), (0, 1, 1, 1)]",1,2,11,0.6875,1_2,0.1875,-0.4375,-0.1875,-0.625,0.4375,0.625,0.0625,"(1, 2)"
394,"[(-1, 0, -1, 1), (1, -1, -1, 0)]",0,2,9,0.5,0_2,-0.16666666666666702,0.166666666666666,0.16666666666666702,0.33333333333333304,-0.166666666666666,-0.33333333333333304,0.5,"(0, 2)"
395,"[(-1, 0, -1, 1), (1, -1, 0, -1)]",0,1,6,0.545454545454545,0_1,0.545454545454545,0.09090909090909,-0.545454545454545,-0.454545454545455,-0.09090909090909,0.454545454545455,0.0,"(0, 1)"
396,"[(-1, 0, -1, 1), (1, -1, 0, 0)]",1,2,7,0.636363636363636,1_2,0.0,-0.45454545454545403,0.0,-0.45454545454545403,0.45454545454545403,0.45454545454545403,0.181818181818182,"(1, 2)"
397,"[(-1, 0, -1, 1), (1, -1, 0, 1)]",1,2,8,0.727272727272727,1_2,0.272727272727273,-0.454545454545454,-0.272727272727273,-0.727272727272727,0.454545454545454,0.727272727272727,0.0,"(1, 2)"
398,"[(-1, 0, -1, 1), (1, -1, 1, 0)]",0,1,6,0.6,0_1,0.5,0.3,-0.5,-0.19999999999999998,-0.3,0.19999999999999998,0.1,"(0, 1)"
399,"[(-1, 0, -1, 1), (1, 0, -1, -1)]",0,1,6,0.6,0_1,0.19999999999999996,0.6,-0.19999999999999996,0.4,-0.6,-0.4,0.4,"(0, 1)"
400,"[(-1, 0, -1, 1), (1, 0, -1, 0)]",0,2,6,0.545454545454545,0_2,-0.09090909090909,0.454545454545455,0.09090909090909,0.545454545454545,-0.454545454545455,-0.545454545454545,0.545454545454545,"(0, 2)"
