,efforts_tuples,selected0,selected1,count,count_normalized,selected_motions,alpha_0_2,alpha_2_0,alpha_0_1,alpha_2_1,alpha_1_0,alpha_1_2,direct_comparison_value
403,"[(-1, 0, -1, 1), (1, 0, 0, 1)]",1,2,5,0.5,1_2,0.0,0.0,0.0,0.3,0.0,0.2,0.2
404,"[(-1, 0, -1, 1), (1, 0, 1, -1)]",0,1,9,0.75,0_1,0.0,0.0,0.75,0.0,0.5,0.0,0.0
405,"[(-1, 0, -1, 1), (1, 0, 1, 0)]",1,2,10,0.909090909090909,1_2,0.0,0.0,0.0,0.909090909090909,0.0,0.818181818181818,0.0
406,"[(-1, 0, -1, 1), (1, 0, 1, 1)]",1,2,7,0.7,1_2,0.0,0.0,0.0,0.39999999999999997,0.0,0.7,0.3
407,"[(-1, 0, -1, 1), (1, 1, -1, 0)]",0,2,5,0.454545454545455,0_2,0.272727272727273,0.090909090909091,0.0,0.0,0.0,0.0,0.454545454545455
408,"[(-1, 0, -1, 1), (1, 1, 0, -1)]",0,1,6,0.5,0_1,0.0,0.0,0.5,0.0,0.0,0.0,0.0
409,"[(-1, 0, -1, 1), (1, 1, 0, 0)]",1,2,10,1.0,1_2,0.0,0.0,0.0,1.0,0.0,1.0,0.0
410,"[(-1, 0, -1, 1), (1, 1, 0, 1)]",1,2,7,0.636363636363636,1_2,0.0,0.0,0.0,0.45454545454545403,0.0,0.45454545454545403,0.181818181818182
411,"[(-1, 0, -1, 1), (1, 1, 1, 0)]",1,2,7,0.636363636363636,1_2,0.0,0.0,0.0,0.636363636363636,0.0,0.27272727272727204,0.0
412,"[(-1, 0, 0, -1), (-1, 0, 0, 1)]",1,2,9,0.818181818181818,1_2,0.0,0.0,0.0,0.818181818181818,0.0,0.636363636363636,0.0
413,"[(-1, 0, 0, -1), (-1, 0, 1, -1)]",0,2,4,0.363636363636364,0_2,0.090909090909091,0.0,0.0,0.0,0.0,0.0,0.363636363636364
414,"[(-1, 0, 0, -1), (-1, 0, 1, 0)]",1,2,6,0.545454545454545,1_2,0.0,0.0,0.0,0.363636363636363,0.0,0.272727272727272,0.181818181818182
415,"[(-1, 0, 0, -1), (-1, 0, 1, 1)]",0,1,6,0.545454545454545,0_1,0.0,0.0,0.4545454545454541,0.0,0.181818181818181,0.0,0.0909090909090909
416,"[(-1, 0, 0, -1), (-1, 1, -1, 0)]",1,2,6,0.545454545454545,1_2,0.0,0.0,0.0,0.272727272727272,0.0,0.363636363636363,0.272727272727273
417,"[(-1, 0, 0, -1), (-1, 1, 0, -1)]",0,2,8,0.666666666666667,0_2,0.333333333333334,0.666666666666667,0.0,0.0,0.0,0.0,0.666666666666667
418,"[(-1, 0, 0, -1), (-1, 1, 0, 0)]",1,2,7,0.583333333333333,1_2,0.0,0.0,0.0,0.4999999999999997,0.0,0.25000000000000006,0.0833333333333333
419,"[(-1, 0, 0, -1), (-1, 1, 0, 1)]",1,2,7,0.636363636363636,1_2,0.0,0.0,0.0,0.5454545454545451,0.0,0.36363636363636304,0.0909090909090909
420,"[(-1, 0, 0, -1), (-1, 1, 1, 0)]",0,2,5,0.5,0_2,0.2,0.3,0.0,0.0,0.0,0.0,0.5
421,"[(-1, 0, 0, -1), (0, -1, -1, -1)]",0,1,6,0.545454545454545,0_1,0.0,0.0,0.272727272727272,0.0,0.363636363636363,0.0,0.272727272727273
422,"[(-1, 0, 0, -1), (0, -1, -1, 0)]",0,1,6,0.5,0_1,0.0,0.0,0.4166666666666667,0.0,0.08333333333333298,0.0,0.0833333333333333
423,"[(-1, 0, 0, -1), (0, -1, -1, 1)]",0,1,4,0.4,0_1,0.0,0.0,0.2,0.0,0.0,0.0,0.2
424,"[(-1, 0, 0, -1), (0, -1, 0, -1)]",0,1,8,0.666666666666667,0_1,0.0,0.0,0.333333333333334,0.0,0.666666666666667,0.0,0.333333333333333
425,"[(-1, 0, 0, -1), (0, -1, 0, 1)]",1,2,6,0.545454545454545,1_2,0.0,0.0,0.0,0.4545454545454541,0.0,0.181818181818181,0.0909090909090909
426,"[(-1, 0, 0, -1), (0, -1, 1, -1)]",0,1,5,0.5,0_1,0.0,0.0,0.09999999999999998,0.0,0.4,0.0,0.4
427,"[(-1, 0, 0, -1), (0, -1, 1, 0)]",1,2,6,0.5,1_2,0.0,0.0,0.0,0.33333333333333304,0.0,0.16666666666666702,0.166666666666667
428,"[(-1, 0, 0, -1), (0, -1, 1, 1)]",1,2,6,0.545454545454545,1_2,0.0,0.0,0.0,0.4545454545454541,0.0,0.181818181818181,0.0909090909090909
429,"[(-1, 0, 0, -1), (0, 0, -1, -1)]",0,1,6,0.5,0_1,0.0,0.0,0.16666666666666702,0.0,0.33333333333333304,0.0,0.333333333333333
430,"[(-1, 0, 0, -1), (0, 0, -1, 1)]",0,1,7,0.583333333333333,0_1,0.0,0.0,0.583333333333333,0.0,0.16666666666666602,0.0,0.0
431,"[(-1, 0, 0, -1), (0, 0, 1, -1)]",0,1,5,0.454545454545455,0_1,0.0,0.0,0.181818181818182,0.0,0.181818181818182,0.0,0.272727272727273
432,"[(-1, 0, 0, -1), (0, 0, 1, 1)]",0,1,6,0.6,0_1,0.0,0.0,0.6,0.0,0.19999999999999996,0.0,0.0
433,"[(-1, 0, 0, -1), (0, 1, -1, -1)]",0,2,7,0.583333333333333,0_2,0.16666666666666602,0.583333333333333,0.0,0.0,0.0,0.0,0.583333333333333
434,"[(-1, 0, 0, -1), (0, 1, -1, 0)]",1,2,5,0.5,1_2,0.0,0.0,0.0,0.3,0.0,0.2,0.2
435,"[(-1, 0, 0, -1), (0, 1, -1, 1)]",0,1,8,0.8,0_1,0.0,0.0,0.8,0.0,0.6000000000000001,0.0,0.0
436,"[(-1, 0, 0, -1), (0, 1, 0, -1)]",0,2,7,0.7,0_2,0.49999999999999994,0.6,0.0,0.0,0.0,0.0,0.7
437,"[(-1, 0, 0, -1), (0, 1, 0, 1)]",1,2,7,0.7,1_2,0.0,0.0,0.0,0.7,0.0,0.39999999999999997,0.0
438,"[(-1, 0, 0, -1), (0, 1, 1, -1)]",0,2,5,0.454545454545455,0_2,0.181818181818182,0.181818181818182,0.0,0.0,0.0,0.0,0.454545454545455
439,"[(-1, 0, 0, -1), (0, 1, 1, 0)]",0,1,6,0.545454545454545,0_1,0.0,0.0,0.545454545454545,0.0,0.09090909090909,0.0,0.0
440,"[(-1, 0, 0, -1), (0, 1, 1, 1)]",0,1,5,0.5,0_1,0.0,0.0,0.4,0.0,0.09999999999999998,0.0,0.1
441,"[(-1, 0, 0, -1), (1, -1, -1, 0)]",0,1,7,0.7,0_1,0.0,0.0,0.7,0.0,0.39999999999999997,0.0,0.0
442,"[(-1, 0, 0, -1), (1, -1, 0, -1)]",0,2,7,0.538461538461538,0_2,0.307692307692307,0.307692307692307,0.0,0.0,0.0,0.0,0.538461538461538
443,"[(-1, 0, 0, -1), (1, -1, 0, 0)]",1,2,6,0.6,1_2,0.0,0.0,0.0,0.39999999999999997,0.0,0.39999999999999997,0.2
444,"[(-1, 0, 0, -1), (1, -1, 0, 1)]",1,2,9,0.692307692307692,1_2,0.0,0.0,0.0,0.692307692307692,0.0,0.38461538461538397,0.0
445,"[(-1, 0, 0, -1), (1, -1, 1, 0)]",1,2,5,0.454545454545455,1_2,0.0,0.0,0.0,0.272727272727273,0.0,0.090909090909091,0.181818181818182
446,"[(-1, 0, 0, -1), (1, 0, -1, -1)]",0,1,6,0.5,0_1,0.0,0.0,0.16666666666666702,0.0,0.33333333333333304,0.0,0.333333333333333
447,"[(-1, 0, 0, -1), (1, 0, -1, 0)]",1,2,5,0.454545454545455,1_2,0.0,0.0,0.0,0.272727272727273,0.0,0.090909090909091,0.181818181818182
448,"[(-1, 0, 0, -1), (1, 0, -1, 1)]",0,1,7,0.7,0_1,0.0,0.0,0.7,0.0,0.39999999999999997,0.0,0.0
449,"[(-1, 0, 0, -1), (1, 0, 0, -1)]",0,1,5,0.5,0_1,0.0,0.0,0.2,0.0,0.3,0.0,0.3
450,"[(-1, 0, 0, -1), (1, 0, 0, 1)]",1,2,7,0.7,1_2,0.0,0.0,0.0,0.49999999999999994,0.0,0.6,0.2
451,"[(-1, 0, 0, -1), (1, 0, 1, -1)]",0,2,8,0.571428571428571,0_2,0.357142857142857,0.357142857142857,0.0,0.0,0.0,0.0,0.571428571428571
452,"[(-1, 0, 0, -1), (1, 0, 1, 0)]",1,2,7,0.636363636363636,1_2,0.0,0.0,0.0,0.636363636363636,0.0,0.27272727272727204,0.0
453,"[(-1, 0, 0, -1), (1, 0, 1, 1)]",1,2,8,0.727272727272727,1_2,0.0,0.0,0.0,0.636363636363636,0.0,0.545454545454545,0.0909090909090909
454,"[(-1, 0, 0, -1), (1, 1, -1, 0)]",1,2,6,0.545454545454545,1_2,0.0,0.0,0.0,0.363636363636363,0.0,0.272727272727272,0.181818181818182
455,"[(-1, 0, 0, -1), (1, 1, 0, -1)]",0,2,6,0.6,0_2,0.5,0.3,0.0,0.0,0.0,0.0,0.6
456,"[(-1, 0, 0, -1), (1, 1, 0, 0)]",1,2,10,0.833333333333333,1_2,0.0,0.0,0.0,0.833333333333333,0.0,0.6666666666666661,0.0
457,"[(-1, 0, 0, -1), (1, 1, 0, 1)]",1,2,10,0.833333333333333,1_2,0.0,0.0,0.0,0.833333333333333,0.0,0.6666666666666661,0.0
458,"[(-1, 0, 0, -1), (1, 1, 1, 0)]",1,2,5,0.5,1_2,0.0,0.0,0.0,0.2,0.0,0.3,0.3
459,"[(-1, 0, 0, 1), (-1, 0, 1, -1)]",0,1,8,0.8,0_1,0.0,0.0,0.8,0.0,0.6000000000000001,0.0,0.0
460,"[(-1, 0, 0, 1), (-1, 0, 1, 0)]",0,1,9,0.75,0_1,0.0,0.0,0.6666666666666667,0.0,0.583333333333333,0.0,0.0833333333333333
461,"[(-1, 0, 0, 1), (-1, 0, 1, 1)]",0,1,8,0.8,0_1,0.0,0.0,0.7000000000000001,0.0,0.7000000000000001,0.0,0.1
462,"[(-1, 0, 0, 1), (-1, 1, -1, 0)]",0,1,11,1.0,0_1,0.0,0.0,1.0,0.0,1.0,0.0,0.0
463,"[(-1, 0, 0, 1), (-1, 1, 0, -1)]",0,1,8,0.8,0_1,0.0,0.0,0.6000000000000001,0.0,0.8,0.0,0.2
464,"[(-1, 0, 0, 1), (-1, 1, 0, 0)]",0,1,4,0.4,0_1,0.0,0.0,0.2,0.0,0.0,0.0,0.2
465,"[(-1, 0, 0, 1), (-1, 1, 0, 1)]",1,2,6,0.545454545454545,1_2,0.0,0.0,0.0,0.545454545454545,0.0,0.09090909090909,0.0
466,"[(-1, 0, 0, 1), (-1, 1, 1, 0)]",0,1,10,0.833333333333333,0_1,0.0,0.0,0.7499999999999998,0.0,0.7499999999999998,0.0,0.0833333333333333
467,"[(-1, 0, 0, 1), (0, -1, -1, -1)]",0,1,10,0.909090909090909,0_1,0.0,0.0,0.909090909090909,0.0,0.818181818181818,0.0,0.0
468,"[(-1, 0, 0, 1), (0, -1, -1, 0)]",0,1,10,0.909090909090909,0_1,0.0,0.0,0.909090909090909,0.0,0.818181818181818,0.0,0.0
469,"[(-1, 0, 0, 1), (0, -1, -1, 1)]",0,1,9,0.818181818181818,0_1,0.0,0.0,0.636363636363636,0.0,0.818181818181818,0.0,0.181818181818182
470,"[(-1, 0, 0, 1), (0, -1, 0, -1)]",0,1,9,0.818181818181818,0_1,0.0,0.0,0.818181818181818,0.0,0.636363636363636,0.0,0.0
471,"[(-1, 0, 0, 1), (0, -1, 0, 1)]",0,1,7,0.7,0_1,0.0,0.0,0.7,0.0,0.39999999999999997,0.0,0.0
472,"[(-1, 0, 0, 1), (0, -1, 1, -1)]",0,1,9,0.818181818181818,0_1,0.0,0.0,0.818181818181818,0.0,0.636363636363636,0.0,0.0
473,"[(-1, 0, 0, 1), (0, -1, 1, 0)]",0,1,10,0.909090909090909,0_1,0.0,0.0,0.909090909090909,0.0,0.818181818181818,0.0,0.0
474,"[(-1, 0, 0, 1), (0, -1, 1, 1)]",0,1,6,0.6,0_1,0.0,0.0,0.5,0.0,0.3,0.0,0.1
475,"[(-1, 0, 0, 1), (0, 0, -1, -1)]",0,1,10,0.909090909090909,0_1,0.0,0.0,0.909090909090909,0.0,0.818181818181818,0.0,0.0
476,"[(-1, 0, 0, 1), (0, 0, -1, 1)]",0,1,10,0.909090909090909,0_1,0.0,0.0,0.909090909090909,0.0,0.818181818181818,0.0,0.0
477,"[(-1, 0, 0, 1), (0, 0, 1, -1)]",0,1,10,0.769230769230769,0_1,0.0,0.0,0.6923076923076922,0.0,0.6153846153846151,0.0,0.0769230769230769
478,"[(-1, 0, 0, 1), (0, 0, 1, 1)]",0,1,6,0.545454545454545,0_1,0.0,0.0,0.4545454545454541,0.0,0.181818181818181,0.0,0.0909090909090909
479,"[(-1, 0, 0, 1), (0, 1, -1, -1)]",0,1,9,0.818181818181818,0_1,0.0,0.0,0.818181818181818,0.0,0.636363636363636,0.0,0.0
480,"[(-1, 0, 0, 1), (0, 1, -1, 0)]",0,1,9,0.9,0_1,0.0,0.0,0.9,0.0,0.8,0.0,0.0
481,"[(-1, 0, 0, 1), (0, 1, -1, 1)]",0,1,9,0.9,0_1,0.0,0.0,0.9,0.0,0.8,0.0,0.0
482,"[(-1, 0, 0, 1), (0, 1, 0, -1)]",0,1,10,1.0,0_1,0.0,0.0,1.0,0.0,1.0,0.0,0.0
483,"[(-1, 0, 0, 1), (0, 1, 0, 1)]",0,1,5,0.5,0_1,0.0,0.0,0.5,0.0,0.0,0.0,0.0
484,"[(-1, 0, 0, 1), (0, 1, 1, -1)]",0,1,11,1.0,0_1,0.0,0.0,1.0,0.0,1.0,0.0,0.0
485,"[(-1, 0, 0, 1), (0, 1, 1, 0)]",0,1,9,0.9,0_1,0.0,0.0,0.8,0.0,0.9,0.0,0.1
486,"[(-1, 0, 0, 1), (0, 1, 1, 1)]",0,1,8,0.8,0_1,0.0,0.0,0.7000000000000001,0.0,0.7000000000000001,0.0,0.1
487,"[(-1, 0, 0, 1), (1, -1, -1, 0)]",0,1,11,1.0,0_1,0.0,0.0,1.0,0.0,1.0,0.0,0.0
488,"[(-1, 0, 0, 1), (1, -1, 0, -1)]",0,1,7,0.7,0_1,0.0,0.0,0.6,0.0,0.49999999999999994,0.0,0.1
489,"[(-1, 0, 0, 1), (1, -1, 0, 0)]",1,2,7,0.636363636363636,1_2,0.0,0.0,0.0,0.636363636363636,0.0,0.27272727272727204,0.0
490,"[(-1, 0, 0, 1), (1, -1, 0, 1)]",1,2,8,0.8,1_2,0.0,0.0,0.0,0.7000000000000001,0.0,0.7000000000000001,0.1
491,"[(-1, 0, 0, 1), (1, -1, 1, 0)]",0,1,8,0.8,0_1,0.0,0.0,0.8,0.0,0.6000000000000001,0.0,0.0
492,"[(-1, 0, 0, 1), (1, 0, -1, -1)]",0,1,12,1.0,0_1,0.0,0.0,1.0,0.0,1.0,0.0,0.0
493,"[(-1, 0, 0, 1), (1, 0, -1, 0)]",0,1,6,0.6,0_1,0.0,0.0,0.6,0.0,0.19999999999999996,0.0,0.0
494,"[(-1, 0, 0, 1), (1, 0, -1, 1)]",0,1,9,0.818181818181818,0_1,0.0,0.0,0.818181818181818,0.0,0.636363636363636,0.0,0.0
495,"[(-1, 0, 0, 1), (1, 0, 0, -1)]",0,1,12,1.0,0_1,0.0,0.0,1.0,0.0,1.0,0.0,0.0
496,"[(-1, 0, 0, 1), (1, 0, 0, 1)]",1,2,5,0.454545454545455,1_2,0.0,0.0,0.0,0.272727272727273,0.0,0.090909090909091,0.181818181818182
497,"[(-1, 0, 0, 1), (1, 0, 1, -1)]",0,1,10,0.909090909090909,0_1,0.0,0.0,0.909090909090909,0.0,0.818181818181818,0.0,0.0
498,"[(-1, 0, 0, 1), (1, 0, 1, 0)]",0,1,8,0.8,0_1,0.0,0.0,0.7000000000000001,0.0,0.7000000000000001,0.0,0.1
499,"[(-1, 0, 0, 1), (1, 0, 1, 1)]",0,1,8,0.666666666666667,0_1,0.0,0.0,0.5,0.0,0.5,0.0,0.166666666666667
500,"[(-1, 0, 0, 1), (1, 1, -1, 0)]",0,1,7,0.636363636363636,0_1,0.0,0.0,0.636363636363636,0.0,0.27272727272727204,0.0,0.0
501,"[(-1, 0, 0, 1), (1, 1, 0, -1)]",0,1,10,0.833333333333333,0_1,0.0,0.0,0.7499999999999998,0.0,0.7499999999999998,0.0,0.0833333333333333
502,"[(-1, 0, 0, 1), (1, 1, 0, 0)]",1,2,7,0.583333333333333,1_2,0.0,0.0,0.0,0.4999999999999997,0.0,0.25000000000000006,0.0833333333333333
503,"[(-1, 0, 0, 1), (1, 1, 0, 1)]",0,1,7,0.7,0_1,0.0,0.0,0.6,0.0,0.49999999999999994,0.0,0.1
504,"[(-1, 0, 0, 1), (1, 1, 1, 0)]",0,1,10,0.909090909090909,0_1,0.0,0.0,0.909090909090909,0.0,0.818181818181818,0.0,0.0
505,"[(-1, 0, 1, -1), (-1, 0, 1, 0)]",0,2,6,0.6,0_2,0.6,0.19999999999999996,0.0,0.0,0.0,0.0,0.6
506,"[(-1, 0, 1, -1), (-1, 0, 1, 1)]",1,2,8,0.727272727272727,1_2,0.0,0.0,0.0,0.454545454545454,0.0,0.727272727272727,0.272727272727273
507,"[(-1, 0, 1, -1), (-1, 1, -1, 0)]",1,2,7,0.7,1_2,0.0,0.0,0.0,0.49999999999999994,0.0,0.6,0.2
508,"[(-1, 0, 1, -1), (-1, 1, 0, -1)]",0,2,9,0.75,0_2,0.6666666666666667,0.583333333333333,0.0,0.0,0.0,0.0,0.75
509,"[(-1, 0, 1, -1), (-1, 1, 0, 0)]",1,2,9,0.692307692307692,1_2,0.0,0.0,0.0,0.6153846153846151,0.0,0.46153846153846095,0.0769230769230769
510,"[(-1, 0, 1, -1), (-1, 1, 0, 1)]",1,2,8,0.666666666666667,1_2,0.0,0.0,0.0,0.5833333333333337,0.0,0.41666666666666696,0.0833333333333333
511,"[(-1, 0, 1, -1), (-1, 1, 1, 0)]",0,2,6,0.545454545454545,0_2,0.4545454545454541,0.181818181818181,0.0,0.0,0.0,0.0,0.545454545454545
512,"[(-1, 0, 1, -1), (0, -1, -1, -1)]",0,1,6,0.6,0_1,0.0,0.0,0.19999999999999996,0.0,0.6,0.0,0.4
